Муниципальное образование,Все население,,Доля
,,,
Восточный округ,1527316,,0.1204690395
,,,0
Богородское,110137,,0.008687199378
Вешняки,122419,,0.009655958131
Восточное Измайлово,78206,,0.006168600148
Восточное,13752,,0.001084706918
Гольяново,163197,,0.01287237601
Ивановское,128514,,0.0101367092
Измайлово,107883,,0.008509412191
Косино-Ухтомское,82413,,0.006500432755
Метрогородок,39121,,0.003085719848
Новогиреево,98634,,0.007779885265
Новокосино,108204,,0.008534731484
Перово,141269,,0.01114277644
Преображенское,91574,,0.007223018566
Северное Измайлово,88007,,0.006941666794
Соколиная Гора,92337,,0.007283201185
Сокольники,61649,,0.0048626452
Западный округ,1397114,,0.1101991871
,,,0
Внуково,25783,,0.002033667719
Дорогомилово,76218,,0.006011794058
Крылатское,83007,,0.006547285279
Кунцево,152467,,0.01202603328
Можайское,139081,,0.01097019509
Ново-Переделкино,121718,,0.009600665842
Очаково-Матвеевское,130975,,0.01033082378
Проспект Вернадского,64228,,0.005066067186
Раменки,142389,,0.0112311179
Солнцево,126901,,0.01000948172
Тропарево-Никулино,124287,,0.009803299064
Филевский парк,94787,,0.007476448128
Фили Давыдково,115273,,0.00909230807
Зеленоградский округ,250453,,0.0197548067
,,,0
Матушкино,40913,,0.003227066183
Савелки,34726,,0.002739058496
Силино,40341,,0.003181948937
Старое Крюково,31427,,0.002478845573
Крюково,103046,,0.008127887514
Северный округ,1188312,,0.09372965731
,,,0
Аэропорт,79541,,0.006273900013
Беговое,42908,,0.003384424407
Бескудниковское,79732,,0.006288965387
Войковское,70899,,0.005592251003
Восточное Дегунино,99112,,0.007817588138
Головинское,103573,,0.008169455325
Дмитровское,93545,,0.007378483759
Западное Дегунино,84381,,0.006655661319
Коптево,102238,,0.008064155461
Левобережное,54712,,0.004315480287
Молжаниновское,12264,,0.0009673389794
Савеловское,59586,,0.004699923387
Сокол,60171,,0.004746066025
Тимирязевское,83824,,0.006611727218
Ховрино,89094,,0.007027405335
Хорошевское,72732,,0.005736831266
Северо-Восточный округ,1434842,,0.1131750323
,,,0
Алексеевское,80634,,0.006360111812
Алтуфьевское,57697,,0.004550926051
Бабушкинское,88691,,0.006995618185
Бибирево,160447,,0.01265546618
Бутырское,71798,,0.005663160799
Лианозово,86035,,0.006786122724
Лосиноостровское,83046,,0.006550361455
Марфино,35579,,0.002806339983
Марьина Роща,67538,,0.005327147748
Останкинское,63697,,0.005024183869
Отрадное,185745,,0.01465087889
Ростокино,40196,,0.003170511873
Свиблово,62981,,0.004967708436
Северное Медведково,127986,,0.01009506251
Северное,38633,,0.003047228212
Южное Медведково,85867,,0.006772871505
Ярославское,98272,,0.007751332043
Северо-Западный округ,1012949,,0.07989767219
,,,0
Куркино,34231,,0.002700014726
Митино,195476,,0.0154184242
Покровское Стрешнево,59512,,0.004694086541
Северное Тушино,166217,,0.01311058245
Строгино,161298,,0.01272258991
Хорошево-Мневники,174834,,0.01379025955
Щукино,111673,,0.008808353379
Южное Тушино,109708,,0.008653361444
Центральный округ,783886,,0.06183002961
,,,0
Арбат,36308,,0.002863840807
Басманное,110897,,0.008747145368
Замоскворечье,59305,,0.004677759146
Красносельское,48769,,0.003846718418
Мещанское,61452,,0.004847106569
Пресненское,128314,,0.01012093394
Таганское,123532,,0.009743747456
Тверское,77947,,0.006148171186
Хамовники,109451,,0.008633090234
Якиманка,27911,,0.002201516492
Юго-Восточный округ,1433828,,0.1130950517
,,,0
Выхино-Жулебино,225493,,0.01778605418
Капотня,33714,,0.002659235678
Кузьминки,146208,,0.0115323465
Лефортово,95467,,0.007530084014
Люблино,172523,,0.01360797641
Марьино,254142,,0.02004578138
Некрасовка,83525,,0.006588143204
Нижегородское,45738,,0.003607644344
Печатники,86706,,0.006839048723
Рязанский,110073,,0.008682151294
Текстильщики,105398,,0.008313404578
Южнопортовое,74841,,0.005903181389
Юго-Западный округ,1448130,,0.1142231406
,,,0
Академическое,110038,,0.008679390624
Гагаринское,81967,,0.006465253924
Зюзино,127301,,0.01004103224
Коньково,156473,,0.01234201175
Котловка,65992,,0.005205204984
Ломоносовское,88407,,0.006973217315
Обручевское,87458,,0.006898363703
Северное Бутово,95937,,0.007567155876
Теплый Стан,134562,,0.01061375308
Черемушки,110948,,0.008751168059
Южное Бутово,210783,,0.01662578376
Ясенево,178264,,0.01406080527
Южный округ,1796267,,0.1416829001
,,,0
Бирюлево Восточное,155937,,0.01229973405
Бирюлево Западное,88796,,0.007003900197
Братеево,110185,,0.00869098544
Даниловское,95013,,0.007494274172
Донское,52037,,0.004104486176
Зябликово,133501,,0.01053006532
Москворечье-Сабурово,80934,,0.006383774703
Нагатино-Садовники,83607,,0.006594611061
Нагатинский Затон,121143,,0.009555311968
Нагорное,81794,,0.006451608323
Орехово-Борисово Северное,132307,,0.01043588701
Орехово-Борисово Южное,147835,,0.01166067825
Царицыно,129318,,0.01020012574
Чертаново Северное,114653,,0.009043404762
Чертаново Центральное,117308,,0.009252821346
Чертаново Южное,151899,,0.01198123154
Новомосковский округ,274170,,0.02162551598
,,,0
Поселение Внуковское,12816,,0.001010878699
Поселение Воскресенское,10037,,0.0007916814527
Поселение Десёновское,23519,,0.001855091769
Поселение Кокошкино,19323,,0.001524126802
пгт Кокошкино,18932,,0.001493286167
Поселение Марушкинское,7694,,0.0006068742749
Поселение Московский,63010,,0.004969995849
г. Московский,59218,,0.004670896908
Поселение Мосрентген,20967,,0.001653799444
Поселение Рязановское,21683,,0.001710274877
Поселение Сосенское,33096,,0.002610490122
Поселение Филимонковское,8017,,0.0006323513207
Поселение Щербинка,54008,,0.00425995137
г. Щербинка,54008,,0.00425995137
Троицкий округ,130812,,0.01031796694
,,,0
Поселение Вороновское,9634,,0.0007598943026
Поселение Киевский,14215,,0.001121226646
пгт Киевский,13942,,0.001099693416
Поселение Кленовское,4238,,0.0003342777719
Поселение Краснопахорское,5380,,0.0004243545099
Поселение Михайлово-Ярцевское,5768,,0.0004549585154
Поселение Новофедоровское,7381,,0.0005821859921
Поселение Первомайское,9215,,0.0007268451317
Поселение Роговское,4096,,0.0003230773369
Поселение Троицк,61284,,0.00483385535
г. Троицк,61284,,0.00483385535
Поселение Щаповское,9601,,0.0007572913846